state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
TX,113,415,no,no,0,224.6,89,38.18,210.2,115,17.87,252.4,124,11.36,6.6,5,1.78,0,no
OR,72,510,no,yes,3,201.2,104,34.2,228.7,124,19.44,179.7,128,8.09,14.5,1,3.92,1,no
CO,32,408,no,no,0,216.7,64,36.84,189.1,95,16.07,197.6,100,8.89,10.4,4,2.81,1,no
SC,150,408,no,no,0,195.9,118,33.3,230.1,96,19.56,199.0,120,8.96,14.9,4,4.02,0,no
MN,129,415,yes,no,0,163.9,59,27.86,217.5,81,18.49,205.0,69,9.22,10.3,5,2.78,0,no
NH,80,510,no,yes,7,174.8,112,29.72,237.9,122,20.22,218.7,96,9.84,12.0,5,3.24,1,no
CO,110,415,no,no,0,165.2,83,28.08,244.8,105,20.81,225.1,85,10.13,9.7,4,2.62,1,no
GA,105,408,no,no,0,206.6,86,35.12,259.5,114,22.06,168.2,100,7.57,17.4,6,4.7,3,no
MS,105,408,no,no,0,213.4,92,36.28,185.1,105,15.73,212.3,87,9.55,7.7,7,2.08,1,no
WI,77,408,yes,yes,7,200.2,41,34.03,247.7,107,21.05,225.1,91,10.13,4.8,3,1.3,4,no
DE,83,415,no,no,0,115.0,120,19.55,173.0,110,14.71,166.3,143,7.48,14.7,3,3.97,2,no
VT,96,510,no,yes,9,122.4,97,20.81,224.2,111,19.06,132.8,79,5.98,13.3,6,3.59,2,no
IA,115,415,no,no,0,181.6,116,30.87,213.9,90,18.18,237.5,77,10.69,11.0,5,2.97,1,no
IL,129,408,no,no,0,129.5,90,22.02,219.1,58,18.62,264.9,120,11.92,5.4,6,1.46,3,no
NV,123,408,no,no,0,107.1,113,18.21,148.9,81,12.66,226.1,74,10.17,8.9,8,2.4,4,no
NY,193,510,no,yes,9,202.6,97,34.44,147.8,100,12.56,174.9,90,7.87,9.6,4,2.59,6,no
MD,37,408,no,no,0,225.9,82,38.4,204.4,128,17.37,215.6,92,9.7,6.9,1,1.86,1,no
IA,119,415,no,no,0,154.2,122,26.21,240.5,96,20.44,225.1,122,10.13,8.6,3,2.32,3,no
OK,100,415,no,no,0,238.7,93,40.58,210.0,114,17.85,227.1,116,10.22,11.3,4,3.05,1,no
MO,75,510,no,no,0,239.8,120,40.77,252.5,101,21.46,156.1,109,7.02,4.9,4,1.32,2,no
IL,35,510,no,no,0,172.0,84,29.24,231.4,115,19.67,217.8,85,9.8,12.7,3,3.43,1,no
PA,136,408,no,no,0,151.9,131,25.82,221.1,127,18.79,153.0,72,6.88,9.6,4,2.59,1,yes
NJ,91,415,no,no,0,121.7,66,20.69,234.8,110,19.96,215.7,118,9.71,8.6,2,2.32,0,no
VA,98,415,no,no,0,204.6,96,34.78,185.1,122,15.73,181.4,117,8.16,13.3,2,3.59,1,no
IL,83,510,no,no,0,231.1,88,39.29,193.5,92,16.45,170.7,69,7.68,7.5,10,2.03,2,no
WV,107,408,no,no,0,123.5,87,21.0,200.1,75,17.01,250.0,65,11.25,9.3,5,2.51,0,no
MO,66,408,no,no,0,119.1,100,20.25,200.0,123,17.0,157.0,89,7.06,3.6,4,0.97,0,no
WY,125,415,no,no,0,170.5,111,28.99,140.5,58,11.94,209.1,100,9.41,15.8,3,4.27,2,no
OH,138,415,no,yes,9,193.2,109,32.84,156.7,115,13.32,236.1,98,10.62,8.2,3,2.21,2,no
MT,121,510,no,no,0,196.5,168,33.41,190.2,101,16.17,267.6,105,12.04,6.7,6,1.81,1,no
DC,1,415,no,yes,8,154.6,79,26.28,161.2,130,13.7,263.3,88,11.85,13.2,6,3.56,2,no
MO,74,408,no,yes,6,86.0,112,14.62,233.2,131,19.82,303.1,105,13.64,8.0,4,2.16,2,no
NE,2,408,no,no,0,144.9,88,24.63,267.2,104,22.71,172.1,91,7.74,11.3,2,3.05,2,no
SD,114,510,yes,yes,9,192.1,69,32.66,162.9,80,13.85,137.1,121,6.17,4.0,6,1.08,0,no
AR,55,408,no,no,0,157.6,110,26.79,188.8,66,16.05,183.5,78,8.26,10.8,4,2.92,2,no
DE,40,415,no,no,0,165.9,100,28.2,187.5,99,15.94,213.1,59,9.59,8.0,5,2.16,3,no
NM,122,415,no,no,0,109.1,86,18.55,239.7,90,20.37,222.4,92,10.01,11.7,4,3.16,3,no
FL,130,415,no,yes,5,155.4,138,26.42,195.7,94,16.63,210.2,68,9.46,8.8,3,2.38,1,no
LA,53,510,no,yes,8,147.1,95,25.01,201.1,121,17.09,244.5,97,11.0,8.8,9,2.38,3,yes
NV,94,408,no,no,0,169.2,72,28.76,182.6,133,15.52,180.5,93,8.12,10.7,3,2.89,2,no
ME,150,415,no,yes,10,143.3,88,24.36,215.0,73,18.28,191.6,125,8.62,9.8,7,2.65,1,no
NM,22,408,no,no,0,153.0,126,26.01,196.8,73,16.73,183.0,70,8.23,6.6,4,1.78,4,no
ME,180,408,no,no,0,164.0,95,27.88,230.1,111,19.56,191.0,99,8.59,8.1,4,2.19,1,no
SD,83,408,no,no,0,189.9,88,32.28,158.4,99,13.46,163.0,110,7.33,5.0,3,1.35,2,no
CA,31,415,no,yes,10,139.4,73,23.7,246.2,95,20.93,134.8,86,6.07,7.2,2,1.94,3,no
NV,150,408,yes,no,0,178.7,105,30.38,215.6,123,18.33,171.3,121,7.71,8.4,1,2.27,2,yes
RI,174,408,no,no,0,64.7,128,11.0,218.0,102,18.53,193.9,137,8.73,12.1,4,3.27,2,no
WA,17,510,no,yes,6,160.5,82,27.29,259.6,67,22.07,212.6,113,9.57,12.5,5,3.38,3,no
NY,135,408,no,yes,4,157.7,114,26.81,147.4,116,12.53,219.1,97,9.86,12.2,2,3.29,0,no
FL,107,510,no,yes,7,217.2,103,36.92,264.0,97,22.44,262.1,78,11.79,9.9,4,2.67,1,no
VT,87,415,no,no,0,140.7,101,23.92,191.7,106,16.29,142.9,103,6.43,7.9,8,2.13,1,no
DE,80,415,no,no,0,149.4,96,25.4,189.4,121,16.1,246.5,108,11.09,9.3,6,2.51,4,no
UT,165,510,no,no,0,215.2,86,36.58,270.7,120,23.01,184.0,84,8.28,13.4,1,3.62,0,no
MD,107,510,no,no,0,138.6,67,23.56,230.3,119,19.58,130.6,85,5.88,10.2,3,2.75,2,no
DC,123,510,yes,no,0,183.7,89,31.23,240.0,102,20.4,206.8,96,9.31,7.8,7,2.11,3,no
DC,118,415,no,no,0,211.6,79,35.97,188.7,95,16.04,193.1,94,8.69,6.5,7,1.76,2,no
SC,132,415,no,no,0,143.2,115,24.34,196.4,128,16.69,283.6,107,12.76,12.3,4,3.32,0,no
OH,140,415,no,no,0,185.8,91,31.59,275.6,87,23.43,150.7,101,6.78,9.2,5,2.48,2,no
SD,84,408,no,no,0,202.5,73,34.43,160.8,94,13.67,152.2,61,6.85,5.5,2,1.49,0,no
NH,186,408,no,yes,9,222.2,82,37.77,205.8,73,17.49,180.9,82,8.14,11.6,3,3.13,2,no
GA,70,510,no,yes,5,173.5,98,29.5,186.0,105,15.81,185.5,122,8.35,7.1,3,1.92,4,no
DC,114,415,no,no,0,136.8,110,23.26,213.6,84,18.16,158.4,83,7.13,10.4,4,2.81,1,no
MA,44,510,no,no,0,186.2,120,31.65,274.1,68,23.3,134.2,137,6.04,11.2,5,3.02,1,yes
CA,118,415,no,yes,2,219.4,111,37.3,225.5,77,19.17,188.3,124,8.47,8.7,2,2.35,1,no
WA,48,415,no,no,0,231.4,97,39.34,191.3,91,16.26,187.7,107,8.45,16.9,5,4.56,1,no
AK,83,415,no,no,0,202.5,113,34.43,239.5,74,20.36,214.0,85,9.63,6.3,7,1.7,3,no
IN,161,415,no,yes,6,205.7,106,34.97,214.6,83,18.24,205.1,81,9.23,6.8,2,1.84,1,no
VA,141,415,no,yes,9,239.1,60,40.65,164.1,88,13.95,205.2,120,9.23,12.1,2,3.27,1,no
CO,100,415,no,no,0,144.6,137,24.58,200.9,117,17.08,232.5,135,10.46,6.4,6,1.73,1,no
NH,108,408,no,no,0,302.3,47,51.39,144.3,95,12.27,187.5,82,8.44,7.5,4,2.03,2,no
NV,141,415,no,yes,10,277.7,94,47.21,234.6,88,19.94,227.0,85,10.21,10.9,1,2.94,1,no
NC,125,510,no,no,0,236.5,123,40.21,234.5,104,19.93,225.2,91,10.13,9.3,3,2.51,2,no
MT,102,408,no,no,0,136.8,54,23.26,174.0,74,14.79,157.7,85,7.1,12.5,3,3.38,0,no
DC,113,510,yes,yes,8,172.1,113,29.26,188.3,119,16.01,127.0,93,5.71,8.4,4,2.27,2,no
TX,101,408,no,no,0,98.0,50,16.66,181.5,83,15.43,184.5,95,8.3,13.9,6,3.75,0,no
NE,108,510,yes,no,0,170.1,122,28.92,238.1,110,20.24,212.7,135,9.57,10.0,2,2.7,2,yes
MD,124,408,no,no,0,127.1,86,21.61,173.7,87,14.76,230.2,100,10.36,5.8,2,1.57,5,yes
ND,160,408,no,no,0,183.6,112,31.21,124.2,102,10.56,238.0,124,10.71,13.4,3,3.62,0,no
NY,66,415,no,no,0,155.3,59,26.4,154.7,136,13.15,257.5,101,11.59,15.0,4,4.05,1,no
AR,113,408,no,no,0,89.5,89,15.22,175.8,91,14.94,183.6,100,8.26,10.7,8,2.89,0,no
OK,77,408,no,yes,7,215.8,113,36.69,189.7,84,16.12,226.2,102,10.18,11.4,4,3.08,3,no
OR,114,415,no,no,0,178.1,122,30.28,188.9,97,16.06,207.4,82,9.33,7.8,6,2.11,0,no
GA,114,415,yes,no,0,149.6,142,25.43,214.1,110,18.2,186.8,122,8.41,6.7,0,1.81,2,yes
KY,46,408,no,no,0,103.9,69,17.66,191.1,95,16.24,239.7,130,10.79,14.5,6,3.92,0,no
UT,40,415,no,no,0,199.6,86,33.93,133.6,49,11.36,251.2,61,11.3,9.8,1,2.65,0,no
OK,50,415,no,yes,7,168.3,116,28.61,217.7,80,18.5,171.7,79,7.73,11.8,4,3.19,2,no
AL,92,408,no,no,0,195.0,130,33.15,227.1,74,19.3,153.4,125,6.9,9.7,5,2.62,3,no
RI,48,510,no,no,0,142.3,126,24.19,167.6,117,14.25,127.8,129,5.75,6.2,5,1.67,2,no
AZ,13,510,no,yes,11,110.2,92,18.73,173.9,62,14.78,189.1,98,8.51,11.1,6,3.0,1,no
IA,93,408,no,no,0,174.0,87,29.58,226.2,118,19.23,242.7,91,10.92,6.6,8,1.78,2,no
MA,10,415,yes,yes,10,182.8,116,31.08,148.1,100,12.59,120.3,97,5.41,8.9,4,2.4,1,no
VA,67,510,no,no,0,170.6,69,29.0,263.7,103,22.41,172.4,108,7.76,10.4,4,2.81,1,no
CO,167,408,yes,no,0,175.7,131,29.87,170.9,110,14.53,160.2,110,7.21,9.0,4,2.43,5,yes
NE,137,510,no,no,0,91.6,97,15.57,165.0,138,14.03,122.3,108,5.5,10.4,4,2.81,0,no
MS,124,510,no,yes,12,129.7,79,22.05,169.2,106,14.38,201.9,114,9.09,9.8,5,2.65,3,no
KY,171,510,no,yes,11,187.3,112,31.84,166.5,96,14.15,226.3,88,10.18,7.5,4,2.03,2,no
NJ,75,408,no,no,0,203.3,108,34.56,215.6,64,18.33,237.2,105,10.67,14.2,8,3.83,2,yes
MD,117,510,no,no,0,161.4,97,27.44,178.2,56,15.15,256.0,114,11.52,11.6,2,3.13,4,yes
MI,46,415,no,no,0,175.5,95,29.84,202.3,65,17.2,181.7,100,8.18,11.6,8,3.13,0,no
AK,8,408,no,yes,11,171.2,103,29.1,241.1,106,20.49,143.1,138,6.44,12.5,6,3.38,2,no
MI,115,510,yes,no,0,215.2,125,36.58,116.1,52,9.87,182.6,121,8.22,5.3,6,1.43,2,yes
IL,109,415,no,no,0,201.3,85,34.22,212.8,80,18.09,241.1,74,10.85,10.5,3,2.83,1,no
MD,67,415,no,no,0,186.1,103,31.64,208.3,92,17.71,211.2,107,9.5,5.7,3,1.54,2,no
HI,93,510,yes,no,0,152.3,115,25.89,199.4,73,16.95,132.4,77,5.96,17.2,1,4.64,2,no
NE,80,510,no,no,0,142.4,71,24.21,161.7,92,13.74,143.9,72,6.48,13.1,3,3.54,2,no
OR,53,510,no,no,0,203.4,77,34.58,244.5,105,20.78,186.6,106,8.4,8.0,2,2.16,2,no
DE,112,510,yes,no,0,186.8,137,31.76,202.2,83,17.19,159.8,121,7.19,8.3,3,2.24,1,yes
TX,106,510,no,no,0,120.6,93,20.5,236.1,48,20.07,191.5,100,8.62,12.0,2,3.24,3,no
ID,45,408,no,yes,8,241.0,101,40.97,248.7,111,21.14,210.7,104,9.48,10.4,4,2.81,2,no
FL,42,510,no,no,0,159.1,102,27.05,261.8,113,22.25,250.3,109,11.26,6.7,4,1.81,0,no
NY,63,510,yes,no,0,135.8,77,23.09,224.4,87,19.07,209.4,100,9.42,6.5,8,1.76,1,no
CO,96,408,no,no,0,156.9,111,26.67,176.2,75,14.98,241.4,120,10.86,8.2,3,2.21,2,no
FL,83,408,no,no,0,122.5,96,20.83,230.3,74,19.58,206.3,102,9.28,9.1,6,2.46,1,no
IL,86,510,no,yes,7,160.3,82,27.25,263.7,99,22.41,245.0,66,11.03,7.5,6,2.03,2,no
AK,112,510,no,no,0,132.9,81,22.59,200.1,106,17.01,113.5,121,5.11,8.5,7,2.29,0,no
FL,84,408,no,no,0,154.8,105,26.32,210.1,100,17.86,191.8,71,8.63,8.7,3,2.35,5,yes
KS,130,415,no,no,0,230.7,81,39.22,199.0,111,16.92,181.5,111,8.17,9.9,4,2.67,2,no
WV,49,510,yes,no,0,214.1,98,36.4,222.1,136,18.88,174.7,97,7.86,14.7,3,3.97,1,no
CT,44,510,no,no,0,165.7,104,28.17,184.7,89,15.7,205.0,89,9.22,10.9,8,2.94,2,no
GA,126,408,no,no,0,190.4,107,32.37,218.3,107,18.56,185.8,110,8.36,14.2,2,3.83,2,yes
NY,169,408,no,no,0,237.9,96,40.44,214.0,90,18.19,140.3,126,6.31,7.6,8,2.05,4,no
VT,150,510,no,no,0,180.7,77,30.72,172.3,114,14.65,234.8,100,10.57,17.4,4,4.7,3,no
WV,87,415,no,no,0,199.4,63,33.9,219.4,82,18.65,174.5,133,7.85,16.5,4,4.46,0,no
DE,76,408,no,yes,11,181.5,83,30.86,220.3,103,18.73,158.1,89,7.11,12.2,4,3.29,1,no
FL,1,510,no,yes,7,159.0,99,27.03,181.7,119,15.44,219.1,105,9.86,10.2,4,2.75,1,no
LA,120,408,no,no,0,129.6,102,22.03,206.1,133,17.52,191.9,125,8.64,10.9,6,2.94,4,no
WI,105,415,yes,yes,10,195.4,88,33.22,237.3,69,20.17,100.9,90,4.54,11.7,5,3.16,1,yes
NJ,126,415,no,yes,7,104.5,106,17.77,255.8,113,21.74,234.9,97,10.57,14.4,4,3.89,2,no
WI,146,510,yes,no,0,169.2,98,28.76,225.0,77,19.12,256.3,82,11.53,4.2,4,1.13,2,no
PA,126,510,no,no,0,184.4,94,31.35,204.2,77,17.36,229.0,132,10.3,6.4,3,1.73,3,no
AZ,42,408,no,no,0,164.6,111,27.98,184.6,65,15.69,227.0,84,10.21,7.9,5,2.13,0,no
MA,118,408,no,yes,7,214.6,91,36.48,199.0,92,16.92,171.3,112,7.71,9.6,3,2.59,1,no
CT,77,510,no,no,0,166.8,116,28.36,277.5,92,23.59,176.2,85,7.93,8.0,4,2.16,4,yes
NH,80,408,no,no,0,99.2,108,16.86,219.2,90,18.63,224.7,68,10.11,12.1,2,3.27,3,no
KS,85,415,yes,no,0,203.8,79,34.65,183.0,130,15.56,223.3,81,10.05,5.2,2,1.4,5,yes
NE,141,415,no,no,0,151.7,68,25.79,185.6,103,15.78,220.7,89,9.93,3.9,4,1.05,2,no
TX,148,510,no,no,0,133.7,97,22.73,183.8,121,15.62,181.7,99,8.18,11.5,6,3.11,0,no
IN,197,408,yes,no,0,136.6,93,23.22,211.4,89,17.97,222.9,114,10.03,14.6,1,3.94,1,no
AR,112,415,yes,no,0,215.3,116,36.6,172.5,124,14.66,195.1,117,8.78,12.2,5,3.29,1,yes
TX,72,408,no,no,0,152.8,74,25.98,259.3,98,22.04,196.0,106,8.82,11.2,4,3.02,1,no
LA,122,415,no,yes,11,203.7,89,34.63,219.0,88,18.62,189.6,98,8.53,14.3,2,3.86,2,no
OK,60,510,no,no,0,199.3,49,33.88,159.0,54,13.52,179.8,93,8.09,5.3,1,1.43,4,no
PA,168,408,no,no,0,138.8,108,23.6,176.0,117,14.96,261.1,109,11.75,10.9,4,2.94,3,no
CO,97,415,no,no,0,130.5,105,22.19,196.3,87,16.69,243.5,72,10.96,15.7,2,4.24,3,no
GA,119,415,yes,no,0,186.7,74,31.74,206.7,104,17.57,239.9,114,10.8,13.6,1,3.67,1,no
NJ,114,408,no,yes,2,207.8,87,35.33,219.0,95,18.62,301.7,91,13.58,12.5,5,3.38,3,no
TX,104,415,no,no,0,195.7,117,33.27,214.9,80,18.27,171.1,77,7.7,6.0,7,1.62,3,no
KS,159,510,no,no,0,170.6,110,29.0,178.8,108,15.2,223.3,70,10.05,11.6,3,3.13,0,no
MT,49,510,no,no,0,189.8,104,32.27,246.9,109,20.99,216.6,103,9.75,7.7,5,2.08,1,no
NE,114,415,yes,no,0,167.6,107,28.49,180.9,107,15.38,204.3,80,9.19,7.3,3,1.97,3,yes
IA,113,510,no,no,0,191.7,107,32.59,244.2,101,20.76,177.3,114,7.98,2.6,4,0.7,0,no
KY,46,408,yes,no,0,197.7,124,33.61,220.9,75,18.78,186.8,100,8.41,7.5,4,2.03,1,no
ME,94,415,yes,yes,5,215.5,109,36.64,217.1,85,18.45,214.0,114,9.63,11.0,3,2.97,5,no
ID,112,415,yes,no,0,115.4,115,19.62,232.9,85,19.8,159.9,107,7.2,12.0,5,3.24,0,no
IN,27,415,yes,no,0,244.2,73,41.51,267.1,83,22.7,170.3,92,7.66,8.7,2,2.35,2,no
MN,111,510,no,no,0,171.7,112,29.19,229.3,119,19.49,192.1,101,8.64,11.7,5,3.16,1,no
MN,120,408,no,no,0,206.4,91,35.09,208.1,111,17.69,176.9,107,7.96,13.2,1,3.56,4,yes
OK,37,510,no,yes,10,147.8,103,25.13,128.9,127,10.96,227.9,103,10.26,10.5,2,2.83,3,no
MO,136,510,no,no,0,144.3,108,24.53,218.9,104,18.61,280.4,83,12.62,14.6,6,3.94,3,no
KY,117,408,no,no,0,117.4,113,19.96,205.4,95,17.46,271.6,86,12.22,8.8,3,2.38,3,yes
AZ,80,408,no,no,0,147.9,113,25.14,170.8,136,14.52,190.8,118,8.59,9.4,10,2.54,2,no
NH,85,415,no,yes,5,219.9,91,37.38,187.4,102,15.93,162.6,93,7.32,9.4,4,2.54,3,no
IA,88,510,no,no,0,185.6,76,31.55,193.0,84,16.41,179.5,102,8.08,7.7,6,2.08,1,no
DC,61,408,no,no,0,171.5,78,29.16,156.5,85,13.3,240.1,131,10.8,9.9,6,2.67,0,no
NM,93,408,no,no,0,227.7,117,38.71,209.1,130,17.77,182.3,112,8.2,8.5,6,2.29,5,no
ND,114,510,no,no,0,207.2,76,35.22,218.3,126,18.56,170.0,85,7.65,13.5,2,3.65,2,no
SD,81,415,no,no,0,204.4,91,34.75,204.7,92,17.4,209.3,124,9.42,9.0,1,2.43,1,no
CO,145,510,no,no,0,206.0,80,35.02,184.2,55,15.66,201.6,123,9.07,10.0,6,2.7,2,no
SC,90,408,yes,yes,6,156.0,82,26.52,195.7,61,16.63,247.8,79,11.15,6.6,2,1.78,1,no
RI,116,510,yes,yes,8,158.1,130,26.88,267.2,96,22.71,192.3,98,8.65,5.0,4,1.35,1,no
UT,65,510,no,no,0,157.2,99,26.72,225.2,104,19.14,224.7,87,10.11,9.8,1,2.65,0,no
NM,62,510,no,no,0,157.8,128,26.83,239.7,98,20.37,124.5,107,5.6,11.1,4,3.0,2,no
KY,157,510,no,yes,8,221.6,87,37.67,242.8,114,20.64,171.3,89,7.71,8.0,4,2.16,5,no
CO,160,408,no,no,0,75.3,102,12.8,233.1,91,19.81,144.1,81,6.48,10.1,4,2.73,3,no
CT,92,415,no,no,0,180.6,110,30.7,216.5,101,18.4,231.4,120,10.41,12.4,6,3.35,1,no
MA,134,415,yes,yes,12,123.3,119,20.96,161.3,104,13.71,179.3,114,8.07,7.6,4,2.05,2,no
CO,96,408,no,no,0,197.8,112,33.63,221.8,113,18.85,226.5,113,10.19,7.6,2,2.05,3,no
OH,95,510,no,yes,7,172.1,113,29.26,212.9,99,18.1,250.7,35,11.28,13.7,5,3.7,0,no
FL,82,510,no,no,0,160.5,91,27.29,234.8,125,19.96,233.6,64,10.51,13.2,2,3.56,2,yes
NH,114,415,no,no,0,266.6,97,45.32,213.7,117,18.16,185.3,115,8.34,10.0,7,2.7,2,no
AZ,111,415,no,no,0,252.6,117,42.94,193.6,82,16.46,157.4,114,7.08,12.8,3,3.46,1,no
DC,116,415,no,yes,8,219.1,111,37.25,165.6,95,14.08,140.8,110,6.34,11.7,4,3.16,1,no
NH,135,415,yes,yes,7,152.7,136,25.96,263.6,109,22.41,195.2,106,8.78,11.0,4,2.97,0,no
IA,23,408,no,no,0,117.4,101,19.96,139.9,69,11.89,262.5,131,11.81,7.5,4,2.03,2,no
ND,109,408,no,yes,6,169.1,97,28.75,194.6,124,16.54,200.4,106,9.02,13.0,7,3.51,1,no
TX,59,415,no,no,0,147.1,76,25.01,201.6,70,17.14,173.4,117,7.8,13.1,5,3.54,1,no
GA,171,510,no,no,0,192.6,96,32.74,183.5,118,15.6,239.7,76,10.79,12.7,2,3.43,2,no
NH,107,415,yes,no,0,220.9,104,37.55,245.8,80,20.89,176.3,84,7.93,12.5,2,3.38,5,yes
MN,135,510,yes,yes,8,197.6,78,33.59,217.9,95,18.52,225.0,109,10.12,9.8,6,2.65,4,yes
WV,116,408,no,no,0,159.5,103,27.12,167.8,80,14.26,243.7,106,10.97,13.4,2,3.62,1,no
GA,42,510,no,no,0,166.8,79,28.36,235.8,111,20.04,187.5,113,8.44,5.5,4,1.49,1,no
MO,62,408,yes,yes,5,202.0,100,34.34,203.6,91,17.31,244.5,76,11.0,7.8,5,2.11,1,yes
IL,62,510,no,no,0,182.7,129,31.06,193.7,102,16.46,191.5,53,8.62,10.1,3,2.73,2,no
OR,66,510,no,no,0,145.3,84,24.7,204.0,102,17.34,173.1,122,7.79,10.8,4,2.92,0,no
IL,116,408,no,no,0,160.0,143,27.2,158.3,120,13.46,243.1,109,10.94,9.1,5,2.46,2,no
NH,122,415,no,no,0,148.2,128,25.19,236.0,105,20.06,192.5,117,8.66,11.2,2,3.02,3,no
RI,84,415,no,yes,10,241.3,124,41.02,167.9,114,14.27,162.2,81,7.3,10.0,4,2.7,0,no
TN,169,510,yes,no,0,134.2,83,22.81,155.7,104,13.23,209.9,119,9.45,11.3,4,3.05,1,no
HI,161,510,no,yes,7,172.3,87,29.29,143.6,107,12.21,124.0,126,5.58,16.0,4,4.32,1,no
WI,103,408,no,no,0,158.3,115,26.91,136.9,48,11.64,144.4,93,6.5,11.2,3,3.02,3,no
FL,89,415,no,no,0,164.9,64,28.03,261.5,97,22.23,200.5,101,9.02,12.9,7,3.48,3,no
MI,171,415,no,no,0,99.9,123,16.98,196.5,86,16.7,157.6,107,7.09,14.7,4,3.97,1,no
MS,156,510,yes,yes,3,240.8,100,40.94,182.0,124,15.47,203.5,101,9.16,11.9,7,3.21,0,no
NV,48,408,no,no,0,123.0,136,20.91,253.2,82,21.52,130.8,102,5.89,10.1,4,2.73,0,no
IL,48,510,no,no,0,158.7,133,26.98,222.4,107,18.9,233.1,118,10.49,14.7,3,3.97,1,no
MS,90,510,no,yes,10,221.0,99,37.57,199.6,114,16.97,129.5,106,5.83,9.1,3,2.46,0,no
CA,158,510,yes,yes,9,178.3,96,30.31,202.2,89,17.19,181.9,90,8.19,10.5,3,2.83,1,no
TN,127,510,no,no,0,175.6,112,29.85,203.3,111,17.28,171.5,111,7.72,13.0,6,3.51,1,no
FL,53,415,no,no,0,134.9,101,22.93,216.4,82,18.39,166.8,102,7.51,10.3,7,2.78,1,no
MS,112,415,no,no,0,238.4,99,40.53,139.6,112,11.87,274.8,114,12.37,7.6,5,2.05,1,no
ND,87,510,no,yes,6,146.7,88,24.94,200.5,70,17.04,220.3,133,9.91,14.3,8,3.86,3,no
CT,139,510,no,yes,9,170.0,97,28.9,111.1,91,9.44,229.8,131,10.34,7.5,0,2.03,0,no
FL,77,408,no,no,0,163.1,107,27.73,252.1,96,21.43,169.8,138,7.64,10.4,3,2.81,3,no
MS,141,415,no,no,0,135.6,119,23.05,233.6,105,19.86,181.2,118,8.15,11.5,1,3.11,1,no
PA,114,510,no,no,0,139.4,105,23.7,205.8,100,17.49,177.2,73,7.97,15.1,4,4.08,1,no
KY,111,510,no,no,0,150.1,101,25.52,189.3,93,16.09,202.8,100,9.13,12.3,1,3.32,0,no
VT,114,510,yes,no,0,139.8,121,23.77,142.1,119,12.08,228.7,102,10.29,3.7,4,1.0,1,no
UT,39,408,no,no,0,129.2,104,21.96,240.5,106,20.44,178.7,108,8.04,11.5,3,3.11,1,no
WA,84,408,no,no,0,224.7,115,38.2,198.3,111,16.86,179.8,87,8.09,17.6,2,4.75,2,no
GA,118,510,yes,no,0,130.3,105,22.15,230.9,85,19.63,210.5,88,9.47,16.0,5,4.32,1,no
MT,126,415,no,no,0,238.5,102,40.55,209.3,94,17.79,192.9,141,8.68,10.8,6,2.92,0,no
WI,107,415,no,yes,11,159.4,85,27.1,227.9,112,19.37,223.4,121,10.05,7.2,5,1.94,2,no
UT,28,408,no,no,0,113.2,96,19.24,209.8,108,17.83,197.7,135,8.9,10.2,5,2.75,1,no
NY,111,415,no,no,0,205.9,114,35.0,250.2,73,21.27,181.7,100,8.18,12.4,6,3.35,2,no
PA,96,510,yes,no,0,206.7,114,35.14,209.2,119,17.78,210.0,87,9.45,11.1,3,3.0,0,yes
TX,121,510,no,no,0,171.8,88,29.21,197.4,121,16.78,158.3,91,7.12,7.7,2,2.08,0,no
OH,76,415,no,no,0,210.0,113,35.7,220.9,105,18.78,215.3,140,9.69,14.0,2,3.78,0,no
KY,85,510,no,no,0,220.6,98,37.5,166.6,122,14.16,281.2,103,12.65,7.3,4,1.97,2,yes
WA,120,510,no,yes,7,181.4,79,30.84,248.6,139,21.13,261.0,113,11.74,5.0,2,1.35,1,no
WI,39,408,yes,no,0,177.7,92,30.21,219.6,113,18.67,188.3,105,8.47,9.4,3,2.54,1,no
IL,133,415,no,yes,8,206.8,92,35.16,155.5,143,13.22,160.6,121,7.23,5.6,3,1.51,2,yes
MT,38,408,yes,no,0,250.2,88,42.53,290.5,88,24.69,206.5,130,9.29,16.0,7,4.32,0,yes
OR,101,408,no,yes,6,126.3,70,21.47,225.7,70,19.18,234.6,116,10.56,7.4,4,2.0,1,no
IN,78,408,no,no,0,166.2,101,28.25,204.4,107,17.37,182.8,74,8.23,15.3,5,4.13,1,no
ME,99,415,no,yes,6,167.4,92,28.46,240.5,69,20.44,237.0,115,10.66,16.7,2,4.51,2,no
NJ,123,408,no,no,0,242.3,81,41.19,150.3,94,12.78,178.4,99,8.03,11.6,4,3.13,3,no
ME,130,510,no,no,0,164.4,103,27.95,243.5,109,20.7,174.8,130,7.87,12.0,5,3.24,1,yes
CO,137,408,no,no,0,93.3,98,15.86,190.1,60,16.16,259.2,79,11.66,11.6,2,3.13,0,no
WY,34,415,no,no,0,157.3,83,26.74,173.7,83,14.76,202.4,110,9.11,11.0,4,2.97,3,no
ND,85,415,no,yes,3,198.1,145,33.68,175.0,105,14.88,219.3,94,9.87,13.4,5,3.62,1,no
